Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCF_964273535.1	idNorSpin2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Norellia spinipes					54620		GCF_964273535.1-RS_2025_01_08	Complete Genome	2024-10-12		1
GCF_964277435.1	ilMyeCirc1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Myelois circumvoluta					54653		GCF_964277435.1-RS_2025_01_08	Complete Genome	2024-10-31		1
GCF_964026785.1	ilIdaBise2.Wolbachia_sp_2.1	Wolbachia endosymbiont (group B) of Idaea biselata					54652		GCF_964026785.1-RS_2025_01_08	Complete Genome	2024-04-20		1
GCF_947250615.1	ilRhoNaev1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Rhopobota naevana					26567		GCF_947250615.1-RS_2025_01_08	Complete Genome	2022-11-02		1
GCF_964026865.1	icCliFoss2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Clivina fossor					54599		GCF_964026865.1-RS_2025_01_08	Complete Genome	2024-04-20		1
GCF_964019545.1	idXylSegn2.Rickettsiella_sp_1.1	Rickettsiella endosymbiont of Xylota segnis					54706		GCF_964019545.1-RS_2024_04_05	Complete Genome	2024-04-05		1
GCF_964028135.1	icLonFlav1.Wolbachia_sp_2.1	Wolbachia endosymbiont (group B) of Longitarsus flavicornis					54601		GCF_964028135.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_947251815.1	iqChoPara1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Chorthippus parallelus					26607		GCF_947251815.1-RS_2025_01_08	Complete Genome	2022-11-04		1
GCF_947251735.1	ilEndFlam1.Wolbachia_sp_2.1	Wolbachia endosymbiont (group B) of Endotricha flammealis					26615		GCF_947251735.1-RS_2025_01_08	Complete Genome	2022-11-04		1
GCF_964026825.1	ilEloNymp1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Elophila nymphaeata					54644		GCF_964026825.1-RS_2025_01_08	Complete Genome	2024-04-20		1
GCF_001077715.1	ASM107771v1	Candidatus Coxiella mudrowiae		CRt					GCF_001077715.1-RS_2024_08_24	Complete Genome	2015-07-14		1
GCF_964028615.1	icSilUnid1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Silvanus unidentatus					54604		GCF_964028615.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_964028435.1	idUroCard1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Urophora cardui					54626		GCF_964028435.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_025617515.1	ASM2561751v1	Wolbachia endosymbiont of Oryzaephilus surinamensis		JKI-2014					GCF_025617515.1-RS_2025_01_08	Complete Genome	2022-10-07		1
GCF_040207875.1	EBI_wArc_BXR23	Wolbachia endosymbiont of Armadillidium arcangelii		wArc					GCF_040207875.1-RS_2025_01_08	Complete Genome	2024-06-20		1
GCF_947250775.1	icRhiConi1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Rhinocyllus conicus					26566		GCF_947250775.1-RS_2025_01_08	Complete Genome	2022-11-02		1
GCF_947250805.1	ilEndFlam1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Endotricha flammealis					26614		GCF_947250805.1-RS_2025_01_08	Complete Genome	2022-11-04		1
GCF_964026975.1	ilAriArta2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Aricia artaxerxes					54759		GCF_964026975.1-RS_2025_01_08	Complete Genome	2024-04-20		1
GCF_964028235.1	ilCycPunc2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Cyclophora punctaria					54638		GCF_964028235.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_964031165.1	icRhaLign2.Rickettsiella_sp_1.1	Rickettsiella endosymbiont of Rhagonycha lignosa					32cd738c-7345-4b65-917d-bfdba5d86c21		GCF_964031165.1-RS_2024_04_25	Complete Genome	2024-04-25		1
GCF_964028365.1	ilUdeOliv2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Udea olivalis					54656		GCF_964028365.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_947251825.1	ilCamBiln1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Camptogramma bilineatum					26600		GCF_947251825.1-RS_2025_01_08	Complete Genome	2022-11-04		1
GCF_964028405.1	ilThoDeci1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Tholera decimalis					54654		GCF_964028405.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_947250515.1	ilCatPine1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Catoptria pinella					26602		GCF_947250515.1-RS_2025_01_08	Complete Genome	2022-11-02		1
GCF_964263225.1	idLimTigr1.Wolbachia_sp_2.1	Wolbachia endosymbiont (group A) of Limnophora tigrina					c376da2b-4b8a-47f2-bfd0-b3fdf3eb68e8		GCF_964263225.1-RS_2025_01_08	Complete Genome	2024-09-15		1
GCF_046529255.1	wTurt	Wolbachia endosymbiont of Tetranychus urticae					NM		GCF_046529255.1-RS_2025_01_08	Complete Genome	2025-01-09		1
GCF_947250655.1	ilWatBina1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Watsonalla binaria					26581		GCF_947250655.1-RS_2025_01_08	Complete Genome	2022-11-02		1
GCF_964031245.1	ilMilMini2.Rickettsiella_sp_1.1	Rickettsiella endosymbiont of Miltochrista miniata					54707		GCF_964031245.1-RS_2024_04_25	Complete Genome	2024-04-25		1
GCF_964028355.1	ihGerLacu2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Gerris lacustris					54629		GCF_964028355.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_947250475.1	ilApoBetu1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Apotomis betuletana					26590		GCF_947250475.1-RS_2025_01_08	Complete Genome	2022-11-02		1
GCF_964028575.1	idLypDubi1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Lypha dubia					54614		GCF_964028575.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_963931955.1	icLonFlav1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Longitarsus flavicornis					54600		GCF_963931955.1-RS_2025_01_08	Complete Genome	2024-02-08		1
GCF_964030935.1	icAleCurt1.Rickettsiella_sp_1.1	Rickettsiella endosymbiont of Aleochara curtula					63004e16-cd2a-4f37-b110-be146162b871		GCF_964030935.1-RS_2024_04_24	Complete Genome	2024-04-25		1
GCF_900161835.1	HBAv1	Sodalis endosymbiont of Henestaris halophilus					HBA		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-09-29		1
GCF_964028515.1	ilHofPseu3.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Hofmannophila pseudospretella					54649		GCF_964028515.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_964028535.1	ilEnnEroa1.Wolbachia_sp_2.1	Wolbachia endosymbiont (group A) of Ennomos erosarius					54646		GCF_964028535.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_964026695.1	ilDenPini1.Wolbachia_sp_2.1	Wolbachia endosymbiont (group B) of Dendrolimus pini					54643		GCF_964026695.1-RS_2025_01_08	Complete Genome	2024-04-20		1
GCF_021609905.1	ASM2160990v1	Wolbachia endosymbiont of Delia radicum					iso-1		GCF_021609905.1-RS_2025_01_08	Complete Genome	2022-01-26		1
GCF_003966755.1	ASM396675v1	Candidatus Rickettsiella viridis		Ap-RA04					GCF_003966755.1-RS_2024_12_13	Complete Genome	2018-05-30		1
GCF_947250745.1	ilPolIcar1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Polyommatus icarus					26562		GCF_947250745.1-RS_2025_01_08	Complete Genome	2022-11-02		1
GCF_031205055.1	ASM3120505v1	Wolbachia endosymbiont of Listronotus oregonensis					LiOr_01		GCF_031205055.1-RS_2025_01_08	Complete Genome	2023-09-06		1
GCF_964028415.1	iyAndHelv1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Andrena helvola					54667		GCF_964028415.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_964028625.1	ilHorVita1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Horisme vitalbata					54650		GCF_964028625.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_964028475.1	idCraPall2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Crataerina pallida					54612		GCF_964028475.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_964264715.1	iyColCuni1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Colletes cunicularius					3ae1c5f1-7507-47b2-b7b8-2dbe0cc83a28		GCF_964264715.1-RS_2025_01_08	Complete Genome	2024-09-22		1
GCF_947251895.1	idBomMajo1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Bombylius major					26596		GCF_947251895.1-RS_2025_01_08	Complete Genome	2022-11-04		1
GCF_936270145.1	WolOegibB_v1.0	Wolbachia endosymbiont of Oedothorax gibbosus		wOegibbosus-W744x776B					GCF_936270145.1-RS_2025_01_08	Complete Genome	2022-05-24		1
GCF_964030625.1	ilMelGala2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Melanargia galathea					54818		GCF_964030625.1-RS_2025_01_08	Complete Genome	2024-04-25		1
GCF_964028375.1	ilApoBist1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Apomyelois bistriatella					54635		GCF_964028375.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_947251865.1	idProAzur1.Wolbachia_sp_2.1	Wolbachia endosymbiont (group B) of Protocalliphora azurea					26564		GCF_947251865.1-RS_2025_01_08	Complete Genome	2022-11-04		1
GCF_964026875.1	idPheCory1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Pherbina coryleti					54623		GCF_964026875.1-RS_2025_01_08	Complete Genome	2024-04-20		1
GCF_947250635.1	ilParStra1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Parapoynx stratiotata					26548		GCF_947250635.1-RS_2025_01_08	Complete Genome	2022-11-02		1
GCF_947250605.1	ilPyrMalv3.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Pyrgus malvae					26565		GCF_947250605.1-RS_2025_01_08	Complete Genome	2022-11-02		1
GCF_016592595.1	ASM1659259v1	Abyssogena phaseoliformis symbiont OG214					OG214		GCF_016592595.1-RS_2024_04_30	Complete Genome	2020-12-09		1
GCF_964027085.1	iyAndCara2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Andrena carantonica					54664		GCF_964027085.1-RS_2025_01_08	Complete Genome	2024-04-20		1
GCF_964277335.1	icLitConn2.Rickettsiella_sp_1.1	Rickettsiella endosymbiont of Litargus connexus					54705		GCF_964277335.1-RS_2024_10_30	Complete Genome	2024-10-31		1
GCF_947251615.1	icApoCory1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Apoderus coryli					26588		GCF_947251615.1-RS_2025_01_08	Complete Genome	2022-11-04		1
GCF_947250545.1	ilEryTage1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Erynnis tages					26623		GCF_947250545.1-RS_2025_01_08	Complete Genome	2022-11-02		1
GCF_947251915.1	iyHylComm1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Hylaeus communis					26630		GCF_947251915.1-RS_2025_01_08	Complete Genome	2022-11-04		1
GCF_947251835.1	ilApoTurb1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Apotomis turbidana					26591		GCF_947251835.1-RS_2025_01_08	Complete Genome	2022-11-04		1
GCF_947250715.1	ioSymStri1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Sympetrum striolatum					26575		GCF_947250715.1-RS_2025_01_08	Complete Genome	2022-11-02		1
GCF_947250555.1	ilPanCory1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Pandemis corylana					26547		GCF_947250555.1-RS_2025_01_08	Complete Genome	2022-11-02		1
GCF_947250595.1	ilCamMarg1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Campaea margaritaria					26599		GCF_947250595.1-RS_2025_01_08	Complete Genome	2022-11-02		1
GCF_964026795.1	ilYpoRore1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Yponomeuta malinellus					54834		GCF_964026795.1-RS_2025_01_08	Complete Genome	2024-04-20		1
GCF_964026845.1	ilAgrExcl1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Agrotis exclamationis					54631		GCF_964026845.1-RS_2025_01_08	Complete Genome	2024-04-20		1
GCF_964028185.1	idBerMorr1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Beris morrisii					54606		GCF_964028185.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_012277295.1	ASM1227729v1	Wolbachia endosymbiont of Ctenocephalides felis wCfeT		wCfeT					GCF_012277295.1-RS_2025_01_08	Complete Genome	2020-04-14		1
GCF_964028155.1	ihPilPerp1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Pilophorus perplexus					54630		GCF_964028155.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_947250565.1	iyAndHaem1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Andrena haemorrhoa					26584		GCF_947250565.1-RS_2025_01_08	Complete Genome	2022-11-02		1
GCF_964028325.1	iyHedRose1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Hedychridium roseum					53b18498-3a21-42a8-b63c-d330fe407319		GCF_964028325.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_947251545.1	idAnoPurm1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Anomoia purmunda					26586		GCF_947251545.1-RS_2025_01_08	Complete Genome	2022-11-04		1
GCF_964026805.1	icAgeAlni6.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Agelastica alni					54592		GCF_964026805.1-RS_2025_01_08	Complete Genome	2024-04-20		1
GCF_947251595.1	ilEupTrip1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Eupithecia tripunctaria					26627		GCF_947251595.1-RS_2025_01_08	Complete Genome	2022-11-04		1
GCF_964026815.1	iyAndFulv1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Andrena fulva					54666		GCF_964026815.1-RS_2025_01_08	Complete Genome	2024-04-20		1
GCF_964026945.1	ilCheLega1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Chesias legatella					54637		GCF_964026945.1-RS_2025_01_08	Complete Genome	2024-04-20		1
GCF_964027055.1	iyNomFlav1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Nomada flava					54683		GCF_964027055.1-RS_2025_01_08	Complete Genome	2024-04-20		1
GCF_964026995.1	idBraScut1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Brachyopa scutellaris					54607		GCF_964026995.1-RS_2025_01_08	Complete Genome	2024-04-20		1
GCF_964028425.1	iyRhoExst1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Rhorus exstirpatorius					54693		GCF_964028425.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_964028605.1	iyLasFulv3.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Lasioglossum fulvicorne					54678		GCF_964028605.1-RS_2024_06_28	Complete Genome	2024-06-28		1
GCF_964026705.1	iyNomGood2.Wolbachia_sp_2.1	Wolbachia endosymbiont (group A) of Nomada goodeniana					54686		GCF_964026705.1-RS_2025_01_08	Complete Genome	2024-04-20		1
GCF_964028245.1	icPogHisp1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Pogonocherus hispidulus					54602		GCF_964028245.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_006542295.1	ASM654229v1	Wolbachia endosymbiont of Carposina sasakii					wCauA		GCF_006542295.1-RS_2025_01_08	Complete Genome	2019-07-02		1
GCF_016592615.1	ASM1659261v1	Isorropodon fossajaponicum endosymbiont JTNG4		JTNG4					GCF_016592615.1-RS_2024_04_30	Complete Genome	2020-12-09		1
GCF_964026895.1	iyCepSpin2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Cephus spinipes					e20df307-6f54-4e82-89af-22e3eee53e7b		GCF_964026895.1-RS_2025_01_08	Complete Genome	2024-04-20		1
GCF_963966195.1	iyNomHirt1.Wolbachia_sp_2.1	Wolbachia endosymbiont (group A) of Nomada hirtipes					54687		GCF_963966195.1-RS_2025_01_08	Complete Genome	2024-04-05		1
GCF_947251555.1	iyMacEuro1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Macropis europaea					26643		GCF_947251555.1-RS_2025_01_08	Complete Genome	2022-11-04		1
GCF_947250795.1	iyNomFabr1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Nomada fabriciana					26543		GCF_947250795.1-RS_2025_01_08	Complete Genome	2022-11-04		1
GCF_918342435.1	Wolbachia_endosymbiont_of_CSFBv1	Wolbachia endosymbiont of Psylliodes chrysocephala					Wolbachia_endosymbiont_of_Psylliodes chrysocephala_genome		GCF_918342435.1-RS_2025_01_08	Complete Genome	2022-06-24		1
GCF_964028445.1	iyAndTrim1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Andrena trimmerana					54802		GCF_964028445.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_964026955.1	iyLasVill1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Lasioglossum villosulum					54679		GCF_964026955.1-RS_2025_01_08	Complete Genome	2024-04-20		1
GCF_947251425.1	idProAzur1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Protocalliphora azurea					26563		GCF_947251425.1-RS_2025_01_08	Complete Genome	2022-11-04		1
GCF_964019365.1	iyOphElle1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Ophion ellenae					54690		GCF_964019365.1-RS_2025_01_08	Complete Genome	2024-04-05		1
GCF_947250765.1	idGymRotn1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Gymnosoma rotundatum					26628		GCF_947250765.1-RS_2025_01_08	Complete Genome	2022-11-02		1
GCF_964028285.1	idVilCing2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Villa cingulata					54627		GCF_964028285.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_964026965.1	idVolBomb1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Volucella bombylans					54628		GCF_964026965.1-RS_2025_01_08	Complete Genome	2024-04-20		1
GCF_947251575.1	ilYpoPlub1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Yponomeuta plumbellus					26583		GCF_947251575.1-RS_2025_01_08	Complete Genome	2022-11-04		1
GCF_964188425.1	ilScrOcel1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Scrobipalpa ocellatella					478e0bb9-0ecb-47ac-881a-ca4a80744db3		GCF_964188425.1-RS_2025_01_08	Complete Genome	2024-07-20		1
GCF_964026755.1	iyCamRapt1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Campoletis raptor					54671		GCF_964026755.1-RS_2025_01_08	Complete Genome	2024-04-20		1
GCF_964026715.1	iyAndBuce1.Wolbachia_sp_2.1	Wolbachia endosymbiont (group A) of Andrena bucephala					54663		GCF_964026715.1-RS_2025_01_08	Complete Genome	2024-04-20		1
GCF_018467135.1	ASM1846713v1	Wolbachia endosymbiont of Drosophila santomea		wSan			KB161		GCF_018467135.1-RS_2025_01_08	Complete Genome	2021-05-24		1
GCF_947250645.1	ilEucCana1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Eucosma cana					26624		GCF_947250645.1-RS_2025_01_08	Complete Genome	2022-11-02		1
GCF_964277345.1	iyTheTumi1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Therophilus tumidulus					54695		GCF_964277345.1-RS_2025_01_08	Complete Genome	2024-10-31		1
GCF_947250575.1	idEpiBalt1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Episyrphus balteatus					26621		GCF_947250575.1-RS_2025_01_08	Complete Genome	2022-11-02		1
GCF_963969245.1	iyOphCost1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Ophion costatus					54689		GCF_963969245.1-RS_2025_01_08	Complete Genome	2024-04-05		1
GCF_964027005.1	iyOxyArmt1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Oxytorus armatus					54691		GCF_964027005.1-RS_2025_01_08	Complete Genome	2024-04-20		1
GCF_947250525.1	ilColCroc2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Colias croceus					26608		GCF_947250525.1-RS_2025_01_08	Complete Genome	2022-11-02		1
GCF_018467115.1	ASM1846711v1	Wolbachia endosymbiont of Drosophila yakuba		wYak			KB166		GCF_018467115.1-RS_2025_01_08	Complete Genome	2021-05-24		1
GCF_964027035.1	idPhaObes1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Phasia obesa					54621		GCF_964027035.1-RS_2025_01_08	Complete Genome	2024-04-20		1
GCF_964028525.1	idPorMacu1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Portevinia maculata					54625		GCF_964028525.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_964026835.1	ilDenPini1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Dendrolimus pini					54642		GCF_964026835.1-RS_2025_01_08	Complete Genome	2024-04-20		1
GCF_964277405.1	icCanCryp2.Wolbachia_sp_1.1	Wolbachia endosymbiont of Cantharis cryptica					54598		GCF_964277405.1-RS_2025_01_08	Complete Genome	2024-10-31		1
GCF_947251955.1	idCorMarg1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Coremacera marginata					26609		GCF_947251955.1-RS_2025_01_08	Complete Genome	2022-11-04		1
GCF_964028555.1	idPipVidu3.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Pipizella viduata					54624		GCF_964028555.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_947251605.1	ilEmmMono1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Emmelina monodactyla					26613		GCF_947251605.1-RS_2025_01_08	Complete Genome	2022-11-04		1
GCF_964027095.1	idMacAtri3.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Machimus atricapillus					54615		GCF_964027095.1-RS_2025_01_08	Complete Genome	2024-04-20		1
GCF_947250015.1	idAcrOrbc1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Acrocera orbiculus					24838		GCF_947250015.1-RS_2025_01_08	Complete Genome	2022-11-02		1
GCF_008245065.1	ASM824506v1	Wolbachia endosymbiont of Chrysomya megacephala					wMeg		GCF_008245065.1-RS_2025_01_08	Complete Genome	2019-09-03		1
GCF_042182995.1	MDX_Wolbachia_wAnu_v1	Wolbachia endosymbiont of Anurida maritima					Wells-next-the-Sea 2021		GCF_042182995.1-RS_2025_01_08	Complete Genome	2024-09-25		1
GCF_947250675.1	ilXesCnig1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Xestia c-nigrum					26582		GCF_947250675.1-RS_2025_01_08	Complete Genome	2022-11-02		1
GCF_947251635.1	ihIcePurc2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Icerya purchasi					26631		GCF_947251635.1-RS_2025_01_08	Complete Genome	2022-11-04		1
GCF_964026985.1	iyIscInqu1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Ischnus inquisitorius					b4da7fcc-0dab-454f-af50-850c80151fe5		GCF_964026985.1-RS_2025_01_08	Complete Genome	2024-04-20		1
GCF_964026735.1	idNerComm1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group E) of Neria commutata					54619		GCF_964026735.1-RS_2025_01_08	Complete Genome	2024-04-20		1
GCF_020995475.1	ASM2099547v1	Wolbachia endosymbiont of Corcyra cephalonica					SYLI2103		GCF_020995475.1-RS_2025_01_08	Complete Genome	2021-11-29		3
GCF_964264765.1	idOpoGerm2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Opomyza germinationis					89027e9b-d844-430c-9e26-7eba6bca5bb3		GCF_964264765.1-RS_2025_01_08	Complete Genome	2024-09-22		1
GCF_947251645.1	idBibMarc1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Bibio marci					26595		GCF_947251645.1-RS_2025_01_08	Complete Genome	2022-11-04		1
GCF_947250735.1	idSphTaen1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Sphaerophoria taeniata					26570		GCF_947250735.1-RS_2025_01_08	Complete Genome	2022-11-02		1
GCF_947251565.1	ilPheGnom1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Pheosia gnoma					26558		GCF_947251565.1-RS_2025_01_08	Complete Genome	2022-11-04		1
GCF_964028465.1	iyAleLepo1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Aleiodes leptofemur					e4283616-c532-4c21-888c-bf0590fe71e3		GCF_964028465.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_964028265.1	iyGasPulc2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Gastracanthus pulcherrimus					54677		GCF_964028265.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_947251845.1	iyAthCord1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Athalia cordata					26594		GCF_947251845.1-RS_2025_01_08	Complete Genome	2022-11-04		1
GCF_947251795.1	iyAnoNige1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Anoplius nigerrimus					26587		GCF_947251795.1-RS_2025_01_08	Complete Genome	2022-11-04		1
GCF_964027015.1	idConQuad1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Conops quadrifasciatus					54611		GCF_964027015.1-RS_2025_01_08	Complete Genome	2024-04-20		1
GCF_964027025.1	ilApoCapr1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Apotomis capreana					54636		GCF_964027025.1-RS_2025_01_08	Complete Genome	2024-04-20		1
GCF_018141665.1	ASM1814166v1	Wolbachia endosymbiont of Spodoptera picta		Spic_B					GCF_018141665.1-RS_2025_01_08	Complete Genome	2021-04-27		1
GCF_964028505.1	iyAllPice1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Alloplasta piceator					54661		GCF_964028505.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_964028225.1	ilUdeFerr1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Udea ferrugalis					54655		GCF_964028225.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_947250725.1	ilParAegt1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Pararge aegeria					26557		GCF_947250725.1-RS_2025_01_08	Complete Genome	2022-11-02		1
GCF_947251725.1	iyTipFemo1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Tiphia femorata					26577		GCF_947251725.1-RS_2025_01_08	Complete Genome	2022-11-04		1
GCF_947251805.1	ilCelArgi3.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Celastrina argiolus					26603		GCF_947251805.1-RS_2025_01_08	Complete Genome	2022-11-04		1
GCF_964028305.1	iyPhiTria1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Philanthus triangulum					03749ec7-5009-48c8-8c07-3c48459b7d42		GCF_964028305.1-RS_2025_01_08	Complete Genome	2024-06-28		1
